District,Year,Total_Accounts_Thousands,Total_Deposits_Rs_Million,Metro_Accounts_Thousands,Metro_Deposits_Cr,Rural_Accounts_Thousands,Rural_Deposits_Cr,SemiUrban_Accounts_Thousands,SemiUrban_Deposits_Cr,Urban_Accounts_Thousands,Urban_Deposits_Cr,Total_Deposits_Cr
ADILABAD,2009-10,1571.339,35604.673,,,759.92,1320.3686,661.17,1656.4707,150.249,583.628,3560.47
ADILABAD,2010-11,1792.258,38763.905,,,857.292,1449.5211,737.756,1799.6191,197.21,627.2503,3876.39
ADILABAD,2011-12,1755.486,42330.771,,,854.131,1528.2422,701.548,1959.3209,199.807,745.514,4233.08
ADILABAD,2012-13,2189.584,50934.94,,,1110.923,1874.6646,841.875,2364.4921,236.786,854.3373,5093.49
ADILABAD,2013-14,2740.887,57477.189,,,1379.468,2220.0798,998.032,2645.5999,363.387,882.0392,5747.72
ADILABAD,2014-15,3443.337,67621.413,,,1732.602,2579.1299,1179.497,3106.7306,531.238,1076.2808,6762.14
ADILABAD,2015-16,3785.645,76113.553,,,1863.379,2842.493,1341.017,3600.1565,581.249,1168.7058,7611.36
ADILABAD,2016-17,4748.148,105086.104,,,2166.217,3591.578,1930.452,5369.8213,651.479,1547.2111,10508.61
ADILABAD,2017-18,1557.481,33308.124,,,573.35,1041.576,317.203,643.0784,666.928,1646.158,3330.81
AGAR MALWA,2013-14,322.948,3852.144,,,83.896,73.8003,239.052,311.4141,,,385.21
AGAR MALWA,2014-15,465.344,4294.24,,,99.02,72.0712,366.324,357.3528,,,429.42
AGAR MALWA,2015-16,614.23,5006.605,,,132.587,80.9843,481.643,419.6762,,,500.66
AGAR MALWA,2016-17,678.436,6580.335,,,139.445,93.8393,538.991,564.1942,,,658.03
AGAR MALWA,2017-18,726.856,6949.742,,,153.386,79.3531,573.47,615.6211,,,694.97
AGRA,2009-10,2876.709,113268.315,1803.698,9413.6951,529.493,1050.1093,543.518,863.0271,,,11326.83
AGRA,2010-11,3253.276,134518.114,1998.667,11247.0406,645.742,1235.4538,608.867,969.317,,,13451.81
AGRA,2011-12,3441.277,150906.677,2133.226,12619.5258,637.869,1315.2229,670.182,1155.919,,,15090.67
AGRA,2012-13,3887.819,172751.97,2396.224,14256.4877,736.087,1641.4885,755.508,1377.2208,,,17275.2
AGRA,2013-14,4544.815,204739.2,2670.706,17000.8238,944.667,1833.6594,929.442,1639.4368,,,20473.92
AGRA,2014-15,5419.684,239334.072,3142.166,19842.233,1113.346,2160.2673,1164.172,1930.9069,,,23933.41
AGRA,2015-16,5925.854,272820.972,3354.648,22794.2555,1225.553,2273.0004,1345.653,2214.8413,,,27282.1
AGRA,2016-17,6364.895,320927.298,3683.452,26895.6875,980.562,2180.7645,1700.881,3016.2778,,,32092.73
AGRA,2017-18,6706.14,338364.775,3721.788,28232.8836,1140.479,2428.2391,1843.873,3175.3548,,,33836.48
