State,District,Year,No_of_Accounts,Credit_Limit_Cr,Amount_Outstanding_Cr,Credit_Utilization_Ratio
ANDAMAN & NICOBAR ISLANDS,NICOBAR,2019,700,30.7143,22.6322,0.7369
ANDAMAN & NICOBAR ISLANDS,NICOBAR,2020,712,35.5725,26.3212,0.7399
ANDAMAN & NICOBAR ISLANDS,NICOBAR,2021,801,42.7047,32.7415,0.7667
ANDAMAN & NICOBAR ISLANDS,NICOBAR,2022,10691,203.0258,135.9722,0.6697
ANDAMAN & NICOBAR ISLANDS,NICOBAR,2023,1053,62.5147,47.7869,0.7644
ANDAMAN & NICOBAR ISLANDS,NICOBAR,2024,1139,70.4852,51.7193,0.7338
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2019,5767,245.1288,189.5118,0.7731
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2020,6062,269.6944,200.2939,0.7427
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2021,6801,296.4958,220.2044,0.7427
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2022,7074,330.2916,247.1341,0.7482
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2023,7799,380.746,289.2887,0.7598
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2024,8476,428.7266,319.3894,0.745
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2019,41462,2549.1418,1968.72,0.7723
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2020,43687,3081.5161,2333.9546,0.7574
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2021,51302,3392.676,2558.7992,0.7542
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2022,76815,4051.7907,3078.892,0.7599
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2023,65401,4361.2037,3367.9331,0.7722
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2024,73551,5044.6692,3758.9983,0.7451
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,2023,98844,1947.5443,1584.1213,0.8134
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,2024,115378,2501.0296,2062.0919,0.8245
ANDHRA PRADESH,ANAKAPALLI,2023,566869,13337.2968,10596.5286,0.7945
ANDHRA PRADESH,ANAKAPALLI,2024,643582,16844.7846,13615.9117,0.8083
ANDHRA PRADESH,ANANTAPUR,2019,1333752,24141.5038,20669.1094,0.8562
